SurveyName,Timestamp,email,In which country do you currently reside?,Country CODE,Select the title most similar to your current role,How would you rate your expertise in these languages [Python],How would you rate your expertise in these languages [R],How would you rate your expertise in these languages [SQL],How would you rate your expertise in these languages [C],How would you rate your expertise in these languages [C++],How would you rate your expertise in these languages [Java],How would you rate your expertise in these languages [Javascript],How would you rate your expertise in these languages [Panda],How would you rate your expertise in these languages [Bash],How would you rate your expertise in these languages [MATLAB],How would you rate your expertise in these languages [Other],How would you rate your overall analytics expertise?,"Which of the following big data products (relational databases, data warehouses, data lakes, or similar) do you use on a regular basis?",Have you realized these types of initiatives in these platforms? [Data Warehouse],Have you realized these types of initiatives in these platforms? [Data Lakes],Have you realized these types of initiatives in these platforms? [ML/AI],Have you realized these types of initiatives in these platforms? [Data Preparation],Have you realized these types of initiatives in these platforms? [ETL],Have you realized these types of initiatives in these platforms? [Data Onboarding]
ANALYTICS SURVEY FEB-21,2020-01-28 17:52:18,vcranidge2b@wunderground.com,Malaysia,MY,Citizen Data Scientist,none,expert,expert,competent,competent,competent,beginner,expert,proficient,expert,proficient,4,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure,Azure,AWS,Google Cloud
ANALYTICS SURVEY RETAIL,2020-11-13 20:46:08,cdorsett2c@tinyurl.com,Portugal,PT,Citizen Data Scientist,none,beginner,proficient,none,expert,competent,beginner,competent,none,none,expert,3,Amazon Redshift,On-premise,Google Cloud;AWS,Azure,"Google Cloud;On-premise,AWS","Google Cloud;On-premise,AWS",On-premise;Azure
ANALYTICS SURVEY,2020-10-22 20:16:41,eduligall2d@abc.net.au,China,CN,Physicist,beginner,none,competent,beginner,expert,expert,beginner,proficient,proficient,none,proficient,2,Amazon Redshift,AWS,AWS,Google Cloud,On-premise,"Google Cloud;On-premise,AWS",Google Cloud
ANALYTICS SURVEY RETAIL,2020-05-05 00:31:31,dmathis2e@yahoo.com,Brazil,BR,Citizen Data Scientist,,beginner,beginner,,beginner,competent,beginner,beginner,,competent,proficient,,Google Cloud BigQuery,AWS,AWS;Azure,,AWS;Azure,,On-premise;AWS
ANALYTICS SURVEY FEB-21,2020-04-10 10:37:33,ywrankling2f@jugem.jp,Italy,IT,Data Scientist,beginner,beginner,none,expert,beginner,none,proficient,competent,beginner,expert,beginner,3,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Google Cloud;AWS,AWS Azure,AWS,Azure,On-premise;AWS
ANALYTICS SURVEY FEB-21,2020-02-03 13:10:46,cpryor2g@mail.ru,Germany,DE,Physicist,proficient,expert,competent,proficient,beginner,beginner,proficient,competent,beginner,expert,competent,3,Microsoft SQL Server,AWS,AWS;Azure,Google Cloud;AWS;Azure,On-premise,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY JAN-21,2020-04-29 10:46:16,dclohisey2h@spotify.com,Indonesia,ID,Mathematician,competent,competent,expert,proficient,proficient,proficient,proficient,competent,none,proficient,expert,5,Google Cloud BigQuery,On-premise,Azure,Google Cloud,On-premise,AWS,Azure
ANALYTICS SURVEY FEB-21,2020-05-04 16:50:21,lthorald2i@china.com.cn,Indonesia,ID,Physicist,competent,competent,none,competent,none,beginner,competent,beginner,proficient,beginner,expert,3,Amazon Redshift,Azure,Google Cloud;AWS,Google Cloud;AWS;Azure,Azure,Google Cloud;AWS;Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY,2020-04-23 01:47:10,asackur2j@creativecommons.org,Peru,PE,Statistician,none,beginner,proficient,proficient,competent,none,competent,proficient,none,beginner,proficient,4,Teradata,On-premise,AWS;Azure,AWS Azure,Azure,Google Cloud;On-premise;Azure,Azure
ANALYTICS SURVEY RETAIL,2020-02-04 07:29:30,rchatres2k@foxnews.com,China,CN,Physicist,none,expert,beginner,expert,proficient,beginner,beginner,competent,none,proficient,none,2,Google Cloud BigQuery,On-premise,Google Cloud;Azure,AWS Azure,"Google Cloud;On-premise,AWS",AWS,AWS
ANALYTICS SURVEY,2020-09-28 17:23:48,zgulk2l@bloglines.com,Portugal,PT,Mathematician,beginner,proficient,competent,proficient,none,none,proficient,proficient,beginner,expert,proficient,3,Amazon Redshift;Teradata,Google Cloud,Google Cloud;AWS;Azure,Azure,Google Cloud;AWS;Azure,Google Cloud,Google Cloud
ANALYTICS SURVEY JAN-21,2020-09-10 16:52:22,cbrik2m@samsung.com,China,CN,Citizen Data Scientist,proficient,expert,beginner,competent,none,none,beginner,proficient,competent,none,beginner,2,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Azure,AWS,AWS;Azure,On-premise,On-premise;AWS
ANALYTICS SURVEY FSI,2020-04-22 08:32:31,sbowkett2n@nasa.gov,Indonesia,ID,Data Scientist,none,proficient,proficient,proficient,expert,beginner,competent,proficient,none,none,beginner,2,Teradata,AWS,AWS;Azure,Google Cloud;AWS;Azure,On-premise,Azure,On-premise;Azure
ANALYTICS SURVEY,2020-11-06 12:52:31,ctutt2o@godaddy.com,Czech Republic,CZ,Data Engineer,beginner,none,beginner,expert,beginner,competent,beginner,beginner,proficient,none,expert,1,Teradata,Google Cloud,Azure,Google Cloud,On-premise,On-premise;AWS,AWS;Azure
ANALYTICS SURVEY,2020-03-20 00:10:05,rpointin2p@addtoany.com,Poland,PL,Citizen Data Scientist,competent,beginner,proficient,proficient,competent,none,beginner,proficient,competent,none,expert,5,Google Cloud BigQuery,AWS,Google Cloud,Google Cloud;Azure,Google Cloud;On-premise;Azure,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY,2020-10-24 22:47:34,dlechelle2q@hugedomains.com,Indonesia,ID,Physicist,expert,none,expert,competent,expert,beginner,expert,expert,none,none,proficient,1,Teradata,On-premise,Google Cloud;Azure,Azure,AWS,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY FEB-21,2020-09-27 00:04:05,awoolacott2r@bluehost.com,Zimbabwe,ZW,Data Scientist,beginner,proficient,expert,proficient,proficient,beginner,expert,none,competent,proficient,none,2,Teradata,Azure,Google Cloud;AWS;Azure,Google Cloud;AWS,Google Cloud;On-premise;Azure,Google Cloud;On-premise;Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY JAN-21,2020-09-18 20:11:50,vlammertz2s@1und1.de,Indonesia,ID,Mathematician,expert,none,competent,proficient,proficient,proficient,beginner,competent,none,none,expert,5,Google Cloud BigQuery,Google Cloud,AWS;Azure,Azure,"Google Cloud;On-premise,AWS",Google Cloud;AWS;Azure,On-premise
ANALYTICS SURVEY FSI,2020-12-05 14:01:57,sblaxland2t@joomla.org,Poland,PL,Data Analyst,competent,none,expert,none,expert,none,beginner,proficient,expert,none,expert,2,Teradata,Azure,Google Cloud,Azure,AWS,AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY FEB-21,2020-07-01 13:26:17,rleacock2u@washingtonpost.com,Palestinian Territory,PS,Mathematician,proficient,none,competent,competent,competent,beginner,proficient,expert,competent,beginner,competent,1,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Google Cloud,Azure,AWS Azure,On-premise;Azure,On-premise;Azure,On-premise;Azure
ANALYTICS SURVEY FSI,2020-06-05 10:46:02,cgolling2v@si.edu,Thailand,TH,Data Scientist,competent,proficient,none,expert,beginner,none,competent,none,beginner,expert,proficient,4,Amazon Redshift;Teradata,AWS,Azure,Google Cloud;AWS,Google Cloud;On-premise;Azure,Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY JAN-21,2020-08-25 19:42:47,flarchier2w@pen.io,Bosnia and Herzegovina,BA,Data Scientist,expert,competent,proficient,expert,proficient,expert,proficient,competent,expert,beginner,none,4,Microsoft SQL Server,Azure,Azure,Azure,On-premise,Google Cloud,Google Cloud
ANALYTICS SURVEY,2020-06-18 06:49:33,djouhning2x@ovh.net,Paraguay,PY,Data Analyst,beginner,none,proficient,none,expert,proficient,none,competent,beginner,expert,competent,5,Microsoft SQL Server,Azure,Google Cloud;AWS;Azure,AWS Azure,"Google Cloud;On-premise,AWS","Google Cloud;On-premise,AWS",Google Cloud;On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-05-08 16:41:30,efairbrother2y@printfriendly.com,Mongolia,MN,Citizen Data Scientist,proficient,proficient,proficient,beginner,beginner,competent,none,expert,expert,expert,beginner,5,Amazon Redshift;Teradata,On-premise,Google Cloud;AWS,Google Cloud;AWS,Google Cloud;On-premise;Azure,On-premise;AWS,Google Cloud
ANALYTICS SURVEY FEB-21,2020-04-14 12:03:22,scobb2z@booking.com,Mexico,MX,Data Scientist,proficient,expert,beginner,proficient,none,proficient,beginner,competent,expert,none,proficient,3,Microsoft SQL Server,On-premise,Google Cloud,Google Cloud;AWS,Google Cloud;AWS;Azure,Google Cloud;On-premise;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY RETAIL,2020-07-26 09:41:42,jroebuck30@va.gov,France,FR,Data Analyst,competent,competent,proficient,beginner,beginner,beginner,competent,competent,beginner,beginner,competent,3,Microsoft SQL Server,On-premise,AWS;Azure,AWS,Azure,AWS,On-premise
ANALYTICS SURVEY FEB-21,2020-11-29 22:49:28,gfrancklyn31@amazon.co.uk,Indonesia,ID,Physicist,proficient,beginner,beginner,beginner,expert,proficient,none,beginner,competent,competent,beginner,1,Microsoft SQL Server,Azure,Google Cloud,AWS Azure,AWS,"Google Cloud;On-premise,AWS",On-premise;AWS
ANALYTICS SURVEY,2020-02-07 16:17:39,cshillito32@issuu.com,China,CN,Mathematician,beginner,expert,none,none,expert,none,competent,competent,beginner,expert,competent,1,Microsoft SQL Server,Google Cloud,Google Cloud;AWS;Azure,Google Cloud;AWS,AWS;Azure,On-premise,Azure
ANALYTICS SURVEY FSI,2020-04-05 16:54:50,rnoot33@dell.com,China,CN,Data Analyst,proficient,none,expert,competent,proficient,competent,none,proficient,competent,none,proficient,5,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Google Cloud,Azure,Google Cloud;AWS,"Google Cloud;On-premise,AWS",On-premise;AWS,AWS
ANALYTICS SURVEY RETAIL,2020-11-16 07:34:17,cwoodrough34@google.fr,Russia,RU,Citizen Data Scientist,none,proficient,expert,proficient,none,expert,proficient,none,competent,expert,beginner,1,Teradata,Azure,Google Cloud;Azure,Google Cloud;Azure,"Google Cloud;On-premise,AWS",Azure,Azure
ANALYTICS SURVEY FSI,2020-11-02 03:37:40,raddicott35@t.co,Indonesia,ID,Data Engineer,expert,competent,proficient,proficient,expert,competent,expert,proficient,proficient,competent,proficient,2,Microsoft SQL Server,Google Cloud,Google Cloud;AWS,Google Cloud,"Google Cloud;On-premise,AWS","Google Cloud;On-premise,AWS",Azure
ANALYTICS SURVEY JAN-21,2020-10-08 02:49:36,cpamphilon36@free.fr,Indonesia,ID,Citizen Data Scientist,expert,beginner,competent,beginner,expert,none,none,expert,proficient,proficient,expert,2,Microsoft SQL Server,AWS,AWS,Azure,AWS,On-premise,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FSI,2020-07-10 10:01:32,fizchaki37@bandcamp.com,Serbia,RS,Data Scientist,,expert,none,,proficient,beginner,proficient,beginner,,beginner,proficient,,Oracle Database,AWS,AWS,,AWS,,On-premise
ANALYTICS SURVEY FEB-21,2020-08-10 05:36:26,mshimon38@examiner.com,China,CN,Mathematician,beginner,expert,expert,none,proficient,competent,competent,competent,proficient,expert,expert,4,Microsoft SQL Server,Azure,AWS;Azure,AWS,"Google Cloud;On-premise,AWS",Google Cloud,Google Cloud
ANALYTICS SURVEY RETAIL,2020-05-27 23:08:38,aguidoni39@webmd.com,Ukraine,UA,Statistician,proficient,proficient,none,competent,beginner,beginner,proficient,beginner,proficient,competent,proficient,1,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Google Cloud,Azure,AWS Azure,Azure,Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY,2020-02-23 14:50:50,ahandrek3a@tiny.cc,South Africa,ZA,Mathematician,expert,proficient,beginner,beginner,beginner,expert,beginner,beginner,beginner,expert,none,2,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Google Cloud;Azure,Google Cloud;Azure,Google Cloud;AWS;Azure,Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY,2020-02-26 07:40:38,agarthshore3b@foxnews.com,Brazil,BR,Citizen Data Scientist,competent,expert,proficient,competent,none,expert,beginner,proficient,competent,none,competent,4,Teradata,On-premise,AWS;Azure,AWS Azure,"Google Cloud;On-premise,AWS",On-premise,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY,2020-01-22 08:20:29,wblesdill3c@geocities.jp,Thailand,TH,Data Engineer,none,none,beginner,none,expert,expert,beginner,expert,expert,none,none,1,Amazon Redshift,Azure,AWS,Azure,On-premise;Azure,AWS,On-premise;AWS
ANALYTICS SURVEY,2020-01-20 17:11:19,btudgay3d@cnn.com,Peru,PE,Data Analyst,competent,proficient,competent,expert,competent,competent,competent,proficient,none,competent,none,2,Microsoft SQL Server,Azure,Google Cloud;AWS,Google Cloud;AWS;Azure,Google Cloud,On-premise,AWS;Azure
ANALYTICS SURVEY RETAIL,2020-03-10 14:21:29,grought3e@china.com.cn,Indonesia,ID,Data Scientist,none,competent,expert,none,competent,expert,beginner,expert,proficient,expert,expert,1,Amazon Redshift;Google Cloud BigQuery;Oracle Database,AWS,Azure,Google Cloud;AWS;Azure,On-premise,Google Cloud,Google Cloud;On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-04-16 16:38:31,mpirdue3f@wikia.com,China,CN,Data Engineer,competent,beginner,expert,beginner,proficient,competent,expert,beginner,beginner,proficient,proficient,2,Amazon Redshift,On-premise,Azure,AWS,On-premise;Azure,Google Cloud,On-premise;AWS
ANALYTICS SURVEY RETAIL,2020-09-12 22:14:56,hmackilpatrick3g@webs.com,Brazil,BR,Data Scientist,competent,competent,proficient,beginner,expert,competent,beginner,proficient,beginner,beginner,beginner,5,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Google Cloud,Google Cloud;Azure,AWS Azure,On-premise;Azure,AWS;Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY,2020-06-08 20:15:01,tklemencic3h@fotki.com,Russia,RU,Data Scientist,proficient,expert,beginner,proficient,competent,proficient,proficient,competent,none,beginner,competent,3,Oracle Database,AWS,AWS,AWS Azure,On-premise,On-premise;Azure,On-premise;Azure
ANALYTICS SURVEY,2020-11-08 06:33:58,csedgman3i@examiner.com,Armenia,AM,Physicist,competent,expert,proficient,none,proficient,proficient,none,beginner,competent,expert,beginner,1,Google Cloud BigQuery,Azure,Google Cloud;AWS,Google Cloud;AWS;Azure,Google Cloud,Google Cloud;AWS;Azure,Azure
ANALYTICS SURVEY FEB-21,2020-01-22 19:19:07,lgaisford3j@cpanel.net,Russia,RU,Mathematician,beginner,expert,expert,beginner,competent,competent,proficient,beginner,expert,competent,competent,3,Microsoft SQL Server,AWS,Google Cloud,Azure,Google Cloud,Google Cloud;AWS;Azure,On-premise
ANALYTICS SURVEY FSI,2020-05-16 21:17:27,adewan3k@arstechnica.com,Nigeria,NG,Mathematician,beginner,beginner,competent,proficient,beginner,proficient,none,proficient,competent,proficient,competent,5,Microsoft SQL Server,Azure,Google Cloud;Azure,Google Cloud,Google Cloud;AWS;Azure,Google Cloud;On-premise;Azure,On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-08-18 11:50:21,amalinowski3l@altervista.org,Brazil,BR,Citizen Data Scientist,competent,beginner,expert,proficient,expert,expert,none,expert,proficient,expert,expert,3,Microsoft SQL Server,AWS,AWS,AWS,Azure,On-premise;AWS,Google Cloud
ANALYTICS SURVEY RETAIL,2020-12-02 08:48:18,mvalentin3m@blogspot.com,Russia,RU,Mathematician,competent,competent,beginner,competent,competent,proficient,proficient,beginner,competent,beginner,beginner,3,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Google Cloud;Azure,Google Cloud;AWS,Google Cloud;AWS;Azure,AWS;Azure,AWS
ANALYTICS SURVEY RETAIL,2020-02-17 11:20:21,gfarrimond3n@chicagotribune.com,China,CN,Data Scientist,proficient,expert,none,expert,none,proficient,proficient,competent,expert,expert,beginner,4,Teradata,Google Cloud,Google Cloud;Azure,AWS,Google Cloud,On-premise,On-premise
ANALYTICS SURVEY JAN-21,2020-02-13 07:10:33,ohowsan3o@weebly.com,China,CN,Data Analyst,competent,competent,expert,expert,competent,none,none,proficient,proficient,expert,competent,5,Amazon Redshift,AWS,Google Cloud,Google Cloud,On-premise;AWS,"Google Cloud;On-premise,AWS",On-premise;AWS
ANALYTICS SURVEY JAN-21,2020-11-04 17:28:56,dbeal3p@zdnet.com,South Africa,ZA,Data Engineer,beginner,expert,beginner,competent,beginner,competent,expert,beginner,expert,expert,proficient,1,Oracle Database,Google Cloud,Google Cloud;Azure,Google Cloud;AWS;Azure,On-premise;AWS,On-premise;AWS,On-premise
ANALYTICS SURVEY JAN-21,2020-07-02 08:54:52,sgoing3q@alexa.com,China,CN,Statistician,expert,beginner,proficient,competent,competent,none,none,proficient,competent,proficient,proficient,3,Amazon Redshift;Teradata,AWS,AWS,Google Cloud;Azure,On-premise,Google Cloud,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY,2020-08-05 06:51:50,msibbert3r@gizmodo.com,Brazil,BR,Citizen Data Scientist,none,expert,proficient,none,beginner,expert,competent,beginner,proficient,competent,beginner,2,Amazon Redshift,On-premise,Google Cloud;AWS,Google Cloud;AWS;Azure,On-premise,On-premise,Google Cloud;AWS;Azure
ANALYTICS SURVEY RETAIL,2020-04-14 16:03:08,bdimmick3s@bizjournals.com,Philippines,PH,Statistician,proficient,competent,expert,beginner,none,expert,beginner,beginner,none,competent,competent,2,Oracle Database,On-premise,Azure,AWS,Google Cloud;On-premise;Azure,AWS;Azure,Google Cloud
ANALYTICS SURVEY FSI,2020-04-28 18:16:06,sberzons3t@earthlink.net,China,CN,Data Engineer,expert,beginner,none,none,competent,none,beginner,none,competent,none,none,1,Amazon Redshift;Teradata,Azure,Google Cloud;AWS;Azure,Google Cloud;Azure,Azure,Google Cloud,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY RETAIL,2020-11-02 16:01:28,dboag3u@si.edu,Iran,IR,Physicist,,proficient,expert,,expert,competent,beginner,expert,,expert,none,,Google Cloud BigQuery,On-premise,Google Cloud;Azure,,On-premise,,AWS;Azure
ANALYTICS SURVEY FSI,2020-03-16 13:58:38,tdaltry3v@163.com,Thailand,TH,Mathematician,competent,beginner,expert,proficient,beginner,proficient,proficient,beginner,proficient,competent,beginner,4,Amazon Redshift;Teradata,Azure,AWS,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure,On-premise;AWS,On-premise
ANALYTICS SURVEY,2020-04-30 04:31:50,mtomczykowski3w@hhs.gov,China,CN,Statistician,expert,none,expert,competent,competent,none,expert,competent,competent,none,competent,2,Microsoft SQL Server,Google Cloud,Google Cloud;AWS,Google Cloud;Azure,On-premise;AWS,AWS;Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-03-25 23:10:05,zkluge3x@canalblog.com,Tajikistan,TJ,Data Engineer,proficient,none,expert,competent,expert,beginner,expert,proficient,none,competent,beginner,1,Oracle Database,AWS,Google Cloud;Azure,Azure,AWS,AWS,Google Cloud
ANALYTICS SURVEY FEB-21,2020-04-17 20:46:12,dlunge3y@bloglovin.com,Ukraine,UA,Mathematician,competent,none,proficient,competent,expert,expert,expert,proficient,beginner,beginner,none,2,Amazon Redshift,On-premise,AWS,Google Cloud;AWS;Azure,On-premise;Azure,Google Cloud;On-premise;Azure,On-premise;AWS
ANALYTICS SURVEY FSI,2020-05-31 12:41:25,mkhadir3z@google.cn,France,FR,Physicist,proficient,competent,expert,competent,proficient,beginner,expert,proficient,competent,proficient,expert,5,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Google Cloud;Azure,Google Cloud;AWS;Azure,On-premise;Azure,AWS;Azure,Azure
ANALYTICS SURVEY,2020-10-04 17:13:47,tdowley40@deliciousdays.com,Czech Republic,CZ,Data Analyst,expert,competent,proficient,none,none,beginner,competent,competent,none,expert,expert,1,Microsoft SQL Server,AWS,Google Cloud,Google Cloud;AWS,Google Cloud;AWS;Azure,On-premise;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY FSI,2020-05-23 18:55:32,pekins41@abc.net.au,Thailand,TH,Data Scientist,beginner,none,none,proficient,expert,expert,expert,expert,expert,competent,none,1,Amazon Redshift;Teradata,AWS,AWS,Google Cloud,Google Cloud;On-premise;Azure,On-premise,Google Cloud
ANALYTICS SURVEY FEB-21,2020-06-24 00:34:25,bgilphillan42@hibu.com,Canada,CA,Data Analyst,proficient,proficient,expert,none,proficient,none,expert,expert,proficient,competent,proficient,3,Oracle Database,Azure,Google Cloud;Azure,AWS Azure,On-premise,Azure,Google Cloud
ANALYTICS SURVEY FSI,2020-03-21 02:30:58,dstow43@addtoany.com,Brazil,BR,Mathematician,expert,beginner,competent,beginner,competent,competent,expert,proficient,competent,none,competent,3,Microsoft SQL Server,On-premise,Google Cloud;AWS;Azure,Azure,On-premise;AWS,On-premise;Azure,Google Cloud
ANALYTICS SURVEY JAN-21,2020-10-21 22:00:13,bwellen44@wp.com,Indonesia,ID,Mathematician,none,competent,expert,beginner,none,beginner,competent,beginner,expert,beginner,competent,5,Google Cloud BigQuery,AWS,Google Cloud;AWS,Google Cloud;AWS,On-premise;AWS,Google Cloud;AWS;Azure,On-premise;Azure
ANALYTICS SURVEY FSI,2020-05-14 04:54:37,fclilverd45@columbia.edu,Dominican Republic,DO,Data Scientist,proficient,expert,proficient,beginner,none,none,expert,proficient,none,proficient,proficient,3,Amazon Redshift,AWS,Google Cloud;Azure,AWS,AWS,On-premise;Azure,On-premise
